date,open,high,low,close,volume
2019-01-01,2506.769,2520.069,2479.069,2484.569,0
2019-01-02,2484.569,2520.27,2451.569,2476.37,0
2019-01-03,2476.37,2492.27,2438.27,2460.269,0
2019-01-04,2460.269,2538.07,2458.769,2529.77,0
2019-01-06,2534.77,2550.469,2531.569,2537.469,0
2019-01-07,2537.469,2566.77,2522.769,2561.87,0
2019-01-08,2561.87,2585.27,2547.169,2582.57,0
2019-01-09,2582.269,2595.669,2563.569,2572.569,0
2019-01-10,2572.569,2598.27,2559.269,2589.769,0
2019-01-11,2589.57,2596.57,2576.369,2594.369,0
2019-01-13,2589.169,2591.17,2571.17,2574.869,0
2019-01-14,2575.169,2597.17,2566.67,2595.37,0
2019-01-15,2594.669,2613.27,2579.669,2610.669,0
2019-01-16,2610.97,2625.87,2602.469,2605.169,0
2019-01-17,2604.97,2645.27,2595.469,2640.87,0
2019-01-18,2640.67,2676.07,2638.669,2670.869,0
2019-01-20,2669.969,2672.77,2660.269,2665.469,0
2019-01-21,2665.469,2666.27,2650.87,2652.67,0
2019-01-22,2652.369,2657.369,2616.069,2637.169,0
2019-01-23,2636.969,2653.269,2612.569,2636.869,0
2019-01-24,2637.169,2651.97,2626.469,2649.769,0
2019-01-25,2649.469,2672.769,2645.269,2663.47,0
2019-01-27,2663.069,2663.77,2654.77,2659.47,0
2019-01-28,2659.47,2659.47,2623.369,2635.17,0
2019-01-29,2635.469,2651.469,2630.57,2644.47,0
2019-01-30,2644.27,2691.87,2637.269,2689.37,0
2019-01-31,2689.37,2712.17,2676.17,2704.369,0
2019-02-01,2704.169,2716.77,2696.27,2705.369,0
2019-02-03,2700.469,2709.87,2698.87,2705.87,0
2019-02-04,2705.67,2725.87,2697.769,2719.97,0
2019-02-05,2719.67,2739.469,2718.169,2733.569,0
2019-02-06,2733.37,2737.469,2723.169,2724.169,0
2019-02-07,2724.37,2726.37,2686.769,2692.77,0
2019-02-08,2692.57,2709.07,2681.57,2706.57,0
2019-02-10,2712.57,2712.769,2701.069,2705.07,0
2019-02-11,2704.869,2724.469,2702.069,2722.27,0
2019-02-12,2722.069,2755.466,2720.57,2752.97,0
2019-02-13,2753.27,2761.869,2744.67,2751.669,0
2019-02-14,2751.97,2761.97,2729.57,2733.37,0
2019-02-15,2733.37,2777.369,2728.87,2776.869,0
2019-02-17,2780.37,2782.269,2774.369,2777.569,0
2019-02-18,2777.569,2779.87,2773.369,2776.37,0
2019-02-19,2776.37,2787.57,2765.87,2775.369,0
2019-02-20,2775.669,2797.17,2772.67,2795.37,0
2019-02-21,2795.669,2796.37,2764.17,2771.97,0
2019-02-22,2771.97,2794.17,2770.77,2791.17,0
2019-02-24,2799.169,2802.67,2793.869,2797.67,0
2019-02-25,2798.169,2813.27,2782.669,2786.169,0
2019-02-26,2786.37,2802.77,2784.369,2790.07,0
2019-02-27,2790.07,2795.67,2774.769,2789.87,0
2019-02-28,2790.17,2797.67,2780.67,2794.87,0
2019-03-01,2794.87,2807.769,2786.969,2804.17,0
2019-03-03,2812.57,2819.066,2811.07,2816.269,0
2019-03-04,2816.47,2817.07,2766.869,2789.87,0
2019-03-05,2789.87,2798.37,2780.87,2782.67,0
2019-03-06,2782.67,2791.67,2764.669,2765.669,0
2019-03-07,2765.669,2775.17,2738.469,2743.169,0
2019-03-08,2743.169,2747.17,2721.769,2747.17,0
2019-03-10,2744.169,2750.67,2736.669,2747.67,0
2019-03-11,2747.87,2793.37,2746.169,2791.07,0
2019-03-12,2791.37,2797.87,2779.87,2786.669,0
2019-03-13,2786.67,2821.17,2785.67,2809.769,0
2019-03-14,2809.97,2818.969,2802.569,2814.37,0
2019-03-15,2814.069,2831.169,2809.57,2824.769,0
2019-03-17,2823.069,2826.27,2818.769,2826.27,0
2019-03-18,2826.269,2838.47,2822.369,2836.27,0
2019-03-19,2836.469,2852.57,2821.769,2826.77,0
2019-03-20,2827.07,2843.17,2811.169,2823.469,0
2019-03-21,2823.469,2860.57,2807.97,2852.27,0
2019-03-22,2852.469,2856.97,2800.37,2805.77,0
2019-03-24,2809.369,2813.27,2786.47,2793.27,0
2019-03-25,2793.269,2811.469,2784.169,2809.769,0
2019-03-26,2810.07,2829.67,2803.369,2821.47,0
2019-03-27,2821.77,2826.47,2787.07,2797.57,0
2019-03-28,2797.77,2824.17,2793.27,2822.47,0
2019-03-29,2822.57,2836.07,2817.669,2835.47,0
2019-03-31,2841.87,2855.47,2841.469,2852.97,0
2019-04-01,2852.97,2869.069,2849.469,2862.07,0
2019-04-02,2862.07,2877.97,2858.169,2874.77,0
2019-04-03,2874.97,2885.07,2865.07,2873.47,0
2019-04-04,2873.77,2884.17,2866.869,2882.869,0
2019-04-05,2882.869,2893.37,2880.669,2892.37,0
2019-04-07,2892.77,2895.17,2885.47,2886.869,0
2019-04-08,2886.869,2895.669,2880.269,2891.369,0
2019-04-09,2891.569,2893.07,2873.17,2879.07,0
2019-04-10,2879.07,2895.17,2878.87,2889.169,0
2019-04-11,2889.169,2895.17,2881.669,2890.169,0
2019-04-12,2889.97,2910.27,2888.669,2907.869,0
2019-04-14,2907.569,2908.77,2904.569,2906.07,0
2019-04-15,2906.07,2909.57,2896.069,2908.37,0
2019-04-16,2908.369,2916.569,2900.469,2909.169,0
2019-04-17,2909.169,2918.77,2888.169,2888.97,0
2019-04-18,2888.669,2908.17,2885.669,2907.07,0
2019-04-21,2905.57,2911.369,2897.669,2900.669,0
2019-04-22,2900.17,2910.37,2895.569,2907.869,0
2019-04-23,2907.869,2936.369,2905.569,2929.27,0
2019-04-24,2929.27,2936.37,2925.67,2930.87,0
2019-04-25,2930.87,2933.07,2911.469,2920.17,0
2019-04-26,2920.17,2940.17,2917.069,2939.469,0
2019-04-28,2937.47,2940.47,2937.17,2939.669,0
2019-04-29,2939.969,2949.17,2933.67,2937.47,0
2019-04-30,2937.67,2958.67,2924.069,2957.17,0
2019-05-01,2957.17,2957.97,2913.57,2924.07,0
2019-05-02,2924.07,2931.57,2900.069,2921.27,0
2019-05-03,2921.569,2947.47,2920.569,2946.27,0
2019-05-05,2905.869,2908.37,2882.07,2885.07,0
2019-05-06,2885.27,2937.37,2884.869,2911.569,0
2019-05-07,2911.77,2929.77,2862.07,2891.07,0
2019-05-08,2891.069,2898.57,2866.47,2869.67,0
2019-05-09,2869.969,2887.37,2835.669,2858.37,0
2019-05-10,2858.866,2891.67,2824.669,2885.17,0
2019-05-12,2860.97,2867.07,2850.769,2855.769,0
2019-05-13,2856.069,2856.77,2798.27,2819.969,0
2019-05-14,2819.969,2852.37,2814.769,2842.27,0
2019-05-15,2842.27,2858.57,2813.269,2844.47,0
2019-05-16,2844.77,2892.07,2839.77,2866.97,0
2019-05-17,2867.27,2885.67,2850.47,2860.57,0
2019-05-19,2860.07,2874.77,2860.07,2868.77,0
2019-05-20,2868.969,2871.27,2830.869,2854.97,0
2019-05-21,2854.97,2868.67,2844.669,2865.269,0
2019-05-22,2865.569,2866.37,2841.869,2845.17,0
2019-05-23,2845.37,2846.17,2805.269,2826.77,0
2019-05-24,2826.77,2840.87,2819.869,2830.77,0
2019-05-27,2829.77,2837.77,2826.57,2836.97,0
2019-05-28,2836.77,2840.07,2791.47,2795.17,0
2019-05-29,2795.17,2799.17,2765.27,2784.17,0
2019-05-30,2784.169,2798.27,2762.77,2772.569,0
2019-05-31,2772.569,2772.77,2749.369,2751.669,0
2019-06-02,2743.369,2743.369,2731.669,2737.669,0
2019-06-03,2737.669,2762.97,2728.67,2751.77,0
2019-06-04,2751.97,2814.17,2746.969,2811.67,0
2019-06-05,2811.57,2827.97,2800.269,2825.269,0
2019-06-06,2824.969,2852.17,2819.969,2848.369,0
2019-06-07,2848.369,2884.97,2845.17,2873.77,0
2019-06-09,2893.67,2894.67,2879.269,2881.77,0
2019-06-10,2882.069,2904.87,2880.77,2893.37,0
2019-06-11,2893.17,2910.27,2878.469,2884.87,0
2019-06-12,2885.07,2888.97,2865.67,2875.17,0
2019-06-13,2875.37,2897.07,2872.169,2895.07,0
2019-06-14,2895.069,2896.57,2878.969,2889.07,0
2019-06-16,2890.369,2899.07,2889.87,2897.07,0
2019-06-17,2897.07,2897.57,2886.67,2890.27,0
2019-06-18,2889.97,2931.169,2883.469,2922.27,0
2019-06-19,2922.269,2939.87,2910.27,2939.07,0
2019-06-20,2939.27,2958.57,2931.07,2946.77,0
2019-06-21,2946.97,2964.069,2942.769,2945.77,0
2019-06-23,2944.769,2956.269,2943.969,2955.469,0
2019-06-24,2955.469,2956.47,2939.769,2940.47,0
2019-06-25,2940.47,2947.77,2912.47,2918.469,0
2019-06-26,2918.67,2933.97,2909.97,2922.47,0
2019-06-27,2922.47,2934.67,2912.47,2928.169,0
2019-06-28,2928.469,2950.67,2926.47,2950.17,0
2019-06-30,2965.169,2972.97,2958.669,2965.17,0
2019-07-01,2965.17,2977.57,2951.469,2966.67,0
2019-07-02,2966.67,2976.57,2954.47,2971.969,0
2019-07-03,2971.87,3000.17,2970.17,2995.17,0
2019-07-04,2995.37,2999.97,2993.669,2998.87,0
2019-07-05,2999.069,2999.87,2967.469,2986.87,0
2019-07-07,2990.17,2990.869,2980.369,2980.87,0
2019-07-08,2981.17,2984.87,2960.469,2961.77,0
2019-07-09,2961.77,2983.07,2958.969,2977.77,0
2019-07-10,2977.77,3003.17,2967.07,3000.97,0
2019-07-11,3001.17,3008.17,2988.669,3006.87,0
2019-07-12,3006.669,3013.67,3001.569,3010.57,0
2019-07-14,3010.769,3014.77,3006.57,3013.769,0
2019-07-15,3014.07,3019.27,3008.369,3015.67,0
2019-07-16,3015.669,3017.37,2999.57,3004.07,0
2019-07-17,3004.269,3008.87,2970.669,2974.669,0
