date,open,high,low,close,volume
2019-01-01,95.688,95.779,95.688,95.743,0
2019-01-02,95.74,96.544,95.363,96.113,0
2019-01-03,96.114,96.333,95.735,95.931,0
2019-01-04,95.932,96.183,95.598,95.719,0
2019-01-06,95.665,95.674,95.483,95.563,0
2019-01-07,95.566,95.621,95.179,95.484,0
2019-01-08,95.48,95.604,95.265,95.353,0
2019-01-09,95.351,95.499,94.617,94.699,0
2019-01-10,94.701,95.195,94.665,94.914,0
2019-01-11,94.913,95.349,94.769,95.263,0
2019-01-13,95.243,95.243,95.133,95.168,0
2019-01-14,95.163,95.308,95.053,95.138,0
2019-01-15,95.14,95.879,95.123,95.561,0
2019-01-16,95.557,95.826,95.469,95.818,0
2019-01-17,95.82,95.909,95.613,95.7,0
2019-01-18,95.701,96.034,95.66,96.013,0
2019-01-20,95.928,95.938,95.878,95.887,0
2019-01-21,95.887,96.084,95.808,96.033,0
2019-01-22,96.031,96.133,95.856,95.965,0
2019-01-23,95.968,96.034,95.688,95.764,0
2019-01-24,95.768,96.359,95.753,96.106,0
2019-01-25,96.105,96.164,95.411,95.424,0
2019-01-27,95.414,95.446,95.333,95.374,0
2019-01-28,95.378,95.584,95.3,95.391,0
2019-01-29,95.388,95.549,95.291,95.443,0
2019-01-30,95.446,95.678,94.918,94.959,0
2019-01-31,94.955,95.359,94.858,95.333,0
2019-02-01,95.331,95.379,95.098,95.285,0
2019-02-03,95.333,95.444,95.293,95.439,0
2019-02-04,95.433,95.644,95.367,95.555,0
2019-02-05,95.558,95.874,95.526,95.826,0
2019-02-06,95.825,96.226,95.818,96.193,0
2019-02-07,96.19,96.443,96.148,96.335,0
2019-02-08,96.336,96.463,96.223,96.408,0
2019-02-10,96.388,96.458,96.362,96.448,0
2019-02-11,96.458,96.903,96.367,96.864,0
2019-02-12,96.86,96.984,96.407,96.45,0
2019-02-13,96.454,96.999,96.407,96.885,0
2019-02-14,96.884,97.104,96.737,96.868,0
2019-02-15,96.866,97.199,96.648,96.689,0
2019-02-17,96.663,96.664,96.527,96.61,0
2019-02-18,96.609,96.769,96.473,96.741,0
2019-02-19,96.742,96.916,96.232,96.313,0
2019-02-20,96.312,96.476,96.108,96.324,0
2019-02-21,96.297,96.519,96.198,96.481,0
2019-02-22,96.483,96.638,96.258,96.399,0
2019-02-24,96.299,96.358,96.258,96.343,0
